question,heading,department
" 123. Deputy Barry Heneghan asked the Minister for Enterprise, Tourism and Employment the measures currently in place within his Department to support small and medium-sized enterprises in Dublin Bay North facing rising operating costs, including energy, insurance and labour costs; the number of enterprises in the constituency that have accessed State supports administered by his Department or its agencies, in each of the years 2023 to 2025, in tabular form; and if he will make a statement on the matter. [1752/26] ",Small and Medium Enterprises,Enterprise
" 124. Deputy Edward Timmins asked the Minister for Enterprise, Tourism and Employment the potential negative impact of the proposed short-term letting and tourism Bill 2025, in particular on rural areas; and if he will make a statement on the matter. [1750/26] ",Tourism Industry,Enterprise
" 125. Deputy Cormac Devlin asked the Minister for Enterprise, Tourism and Employment if he will report on the impact of the SME test; and if he will make a statement on the matter. [1591/26] ",Small and Medium Enterprises,Enterprise
" 126. Deputy Noel McCarthy asked the Minister for Enterprise, Tourism and Employment his plans for the development of the vacant IDA site at Ballyadam, Carrigtwohill, County Cork; and if he will make a statement on the matter. [1735/26] ",Regional Development,Enterprise
" 127. Deputy John Connolly asked the Minister for Enterprise, Tourism and Employment the number of jobs the IDA supported in Galway in 2025; the way in which this compares with 2020; and if he will make a statement on the matter. [1536/26] ",Regional Development,Enterprise
" 128. Deputy Pádraig O'Sullivan asked the Minister for Enterprise, Tourism and Employment if he will report on the work of the small business unit in his Department; and if he will make a statement on the matter. [1535/26] ",Departmental Functions,Enterprise
" 129. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment if he will reconsider the three-year delay to the introduction of the living wage, which has been postponed until January 2029; if his Department is keeping the decision to delay under constant review, in line with the recommendations of the Low Pay Commission; and if he will make a statement on the matter. [1740/26] ",Living Wage,Enterprise
" 130. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment if his attention has been drawn to the potential redundancies of 400 AI workers taking place at a company (details supplied); if his Department has engaged with the company on this issue; the steps his Department is taking to protect jobs in the tech sector amid increasing labour displacement; and if he will make a statement on the matter. [1739/26] ",Job Losses,Enterprise
" 131. Deputy Peadar Tóibín asked the Minister for Enterprise, Tourism and Employment his plans to increase the tourism potential of Gaeltacht areas; and if he will make a statement on the matter. [1410/26] ",Tourism Promotion,Enterprise
" 132. Deputy Brian Brennan asked the Minister for Enterprise, Tourism and Employment the position regarding discussions on a company (details supplied), which has confirmed closure, and supports for workers; and if he will make a statement on the matter. [1839/26] ",Job Losses,Enterprise
" 133. Deputy Sean Fleming asked the Minister for Enterprise, Tourism and Employment if a new midlands regional enterprise plan is forthcoming; and if he will make a statement on the matter. [1593/26] ",Regional Development,Enterprise
" 134. Deputy Naoise Ó Cearúil asked the Minister for Enterprise, Tourism and Employment for a report on the implementation of the new Action Plan on Competitiveness and Productivity; and if he will make a statement on the matter. [1539/26] ",Economic Growth,Enterprise
" 135. Deputy Louis O'Hara asked the Minister for Enterprise, Tourism and Employment the supports available to communities included in the Wild Atlantic Way initiative; and if he will make a statement on the matter. [1408/26] ",Tourism Funding,Enterprise
" 136. Deputy James O'Connor asked the Minister for Enterprise, Tourism and Employment if a new south-west regional enterprise plan is forthcoming; and if he will make a statement on the matter. [1746/26] ",Regional Development,Enterprise
" 137. Deputy George Lawlor asked the Minister for Enterprise, Tourism and Employment the progress made on developing a long-term tourism strategy; the way in which it will address challenges such as climate change, seasonality and shifting international travel trends; and if he will make a statement on the matter. [1343/26] ",Tourism Policy,Enterprise
" 138. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment his plans to address the decrease in tourist numbers in 2025 and the overreliance on the North American market in the Irish tourism industry; and if he will make a statement on the matter. [1738/26] ",Tourism Industry,Enterprise
" 139. Deputy George Lawlor asked the Minister for Enterprise, Tourism and Employment if he will provide an update on efforts to expand international marketing campaigns and improve air and sea connectivity to support tourism growth; and if he will make a statement on the matter. [1342/26] ",Tourism Promotion,Enterprise
" 140. Deputy Séamus McGrath asked the Minister for Enterprise, Tourism and Employment for an update on the review in relation to work visa arrangements for individuals in high-demand roles, such as in the STEM area - in particular, the rule that an employer must employ at least 50% of non-national workers from the EEA; and if he will make a statement on the matter. [1717/26] ",Work Permits,Enterprise
" 141. Deputy Aindrias Moynihan asked the Minister for Enterprise, Tourism and Employment his engagement with companies developing AI technologies to ensure that responsible and ethical tools are being developed; and if he will make a statement on the matter. [1748/26] ",Artificial Intelligence,Enterprise
" 142. Deputy Cathy Bennett asked the Minister for Enterprise, Tourism and Employment if he will report on his proposals to cultivate cross-Border tourism. [1757/26] ",Tourism Promotion,Enterprise
" 143. Deputy Naoise Ó Cearúil asked the Minister for Enterprise, Tourism and Employment his plans for additional supports for SMEs and investment in overseas in-market promotion to deliver on the Action Plan on Market Diversification; and if he will make a statement on the matter. [1538/26] ",Business Supports,Enterprise
" 144. Deputy Ruairí Ó Murchú asked the Minister for Enterprise, Tourism and Employment for an update on any plans his Department or State agencies under his aegis have to improve accessibility and disability-friendly domestic tourism; and if they have explored the possibility of a register of tourist attractions in terms of disability accessibility levels. [1847/26] ",Tourism Policy,Enterprise
" 145. Deputy Rose Conway-Walsh asked the Minister for Enterprise, Tourism and Employment the assessments his Department has made on the impact of the housing crisis on recruitment and retention of staff, investment in Ireland and our overall competitiveness; and if he will make a statement on the matter. [1743/26] ",Economic Growth,Enterprise
" 146. Deputy Malcolm Byrne asked the Minister for Enterprise, Tourism and Employment the funding allocated for the smart regions enterprise innovation scheme in the southern, eastern and midland regional programme; and if he will make a statement on the matter. [1589/26] ",Regional Development,Enterprise
" 147. Deputy Michael Cahill asked the Minister for Enterprise, Tourism and Employment the way in which he will continue to support tourism SMEs in establishing themselves; and if he will make a statement on the matter. [1712/26] ",Tourism Industry,Enterprise
" 148. Deputy John Paul O'Shea asked the Minister for Enterprise, Tourism and Employment his ambition for the future of tourism in Cork; and if he will make a statement on the matter. [1238/26] ",Tourism Industry,Enterprise
" 149. Deputy Paul Murphy asked the Minister for Enterprise, Tourism and Employment his views on the impact on workers’ quality of life of forcing remote workers to return to work; the measures he will take to address these; and if he will make a statement on the matter. [1621/26] ",Flexible Work Practices,Enterprise
" 150. Deputy John Connolly asked the Minister for Enterprise, Tourism and Employment for an update on the progress made under the West Regional Enterprise Plan to date; and if he will make a statement on the matter. [1537/26] ",Regional Development,Enterprise
" 151. Deputy Paul Murphy asked the Minister for Enterprise, Tourism and Employment if he will end exemptions from the national minimum wage; and if he will make a statement on the matter. [1619/26] ",National Minimum Wage,Enterprise
" 152. Deputy Pádraig O'Sullivan asked the Minister for Enterprise, Tourism and Employment if he will report on the work of the Cost of Business Advisory Forum on a comprehensive review of the cost structure for SMEs; and if he will make a statement on the matter. [1534/26] ",Small and Medium Enterprises,Enterprise
" 153. Deputy George Lawlor asked the Minister for Enterprise, Tourism and Employment the steps his Department is taking to attract new foreign direct investment, particularly in emerging sectors such as green technology and digital services; and if he will make a statement on the matter. [1341/26] ",Foreign Direct Investment,Enterprise
" 154. Deputy Conor D. McGuinness asked the Minister for Enterprise, Tourism and Employment the number of IDA-hosted visits to each county in 2025. [1722/26] ",Regional Development,Enterprise
" 155. Deputy Brendan Smith asked the Minister for Enterprise, Tourism and Employment the number of jobs Enterprise Ireland supported in each county in the Border region in 2025; how this compares with each county in the Border region in 2020; and if he will make a statement on the matter. [1730/26] ",Enterprise Support Services,Enterprise
" 156. Deputy Matt Carthy asked the Minister for Enterprise, Tourism and Employment the initiatives he or his Department or associated State agencies have taken to encourage prospective new owners to establish a business at a former factory (details supplied) at Carrickmacross; and if he will make a statement on the matter. [1239/26] ",Industrial Development,Enterprise
" 157. Deputy Pa Daly asked the Minister for Enterprise, Tourism and Employment the measures he is taking to support the tourism industry in Kerry; and if he will make a statement on the matter. [1236/26] ",Tourism Industry,Enterprise
" 158. Deputy Barry Heneghan asked the Minister for Enterprise, Tourism and Employment the actions his Department is taking to support regional and community-based tourism projects in 2026, particularly in Dublin Bay North; and if he will make a statement on the matter. [1751/26] ",Tourism Industry,Enterprise
" 159. Deputy Peadar Tóibín asked the Minister for Enterprise, Tourism and Employment if his Department has undertaken any assessment on the impact of rising hotel costs on tourism rates in the country. [64065/25] ",Tourism Industry,Enterprise
" 160. Deputy Paul Murphy asked the Minister for Enterprise, Tourism and Employment if he will support revising the law to grant workers a right to work remotely; and if he will make a statement on the matter. [1618/26] ",Flexible Work Practices,Enterprise
" 161. Deputy Joe Neville asked the Minister for Enterprise, Tourism and Employment the way in which his Department is supporting Irish SMEs looking to enter international markets; and if he will make a statement on the matter. [66678/25] ",Small and Medium Enterprises,Enterprise
" 162. Deputy George Lawlor asked the Minister for Enterprise, Tourism and Employment the assessment his Department has completed on the effectiveness of the increased cost of doing business grant for SMEs; whether further rounds of support are planned for 2026; and if he will make a statement on the matter. [1340/26] ",Business Supports,Enterprise
" 163. Deputy Albert Dolan asked the Minister for Enterprise, Tourism and Employment the way he is ensuring that small and micro-businesses are not disproportionately affected by regulatory burdens compared to larger multinationals. [1727/26] ",Business Regulation,Enterprise
" 164. Deputy Peadar Tóibín asked the Minister for Enterprise, Tourism and Employment the steps he is taking to increase the tourism potential of County Meath. [64062/25] ",Tourism Promotion,Enterprise
" 165. Deputy Tony McCormack asked the Minister for Enterprise, Tourism and Employment if he has considered specific supports for retailers in rural towns facing declining footfall, bank closures and higher logistics costs; and if he will make a statement on the matter. [69879/25] ",Business Supports,Enterprise
" 166. Deputy Darren O'Rourke asked the Minister for Enterprise, Tourism and Employment his plans to increase the number of overnight tourism stays in County Meath in 2026; and if he will make a statement on the matter. [1719/26] ",Tourism Promotion,Enterprise
" 167. Deputy Brian Brennan asked the Minister for Enterprise, Tourism and Employment the incentives available for hoteliers to build new hotels as it is currently not feasible; and if he will make a statement on the matter. [1728/26] ",Tourism Industry,Enterprise
" 168. Deputy Aindrias Moynihan asked the Minister for Enterprise, Tourism and Employment the assistance being given to SMEs and start-ups on the recently published Action Plan on Competitiveness and Productivity, specifically on the eight measures in this action plan relating to AI and digital adoption; and if he will make a statement on the matter. [1747/26] ",Business Supports,Enterprise
" 169. Deputy Naoise Ó Muirí asked the Minister for Enterprise, Tourism and Employment the work his Department has done to examine the introduction of a hotel bed tax; and if he will make a statement on the matter. [1714/26] ",Tourism Policy,Enterprise
" 170. Deputy George Lawlor asked the Minister for Enterprise, Tourism and Employment the measures his Department is taking to support SMEs facing persistently high energy costs, particularly in energy-intensive sectors such as hospitality and manufacturing; and if he will make a statement on the matter. [1339/26] ",Small and Medium Enterprises,Enterprise
" 171. Deputy Richard Boyd Barrett asked the Minister for Enterprise, Tourism and Employment his plans to end all subminimum wages for apprentice workers. [67837/25] ",National Minimum Wage,Enterprise
" 172. Deputy Barry Ward asked the Minister for Enterprise, Tourism and Employment the position regarding any engagement he has had with an organisation (details supplied) that seeks to encourage businesses to pass on the planned VAT rate reduction to customers; and if he will make a statement on the matter. [1399/26] ",Tourism Industry,Enterprise
" 173. Deputy Ruairí Ó Murchú asked the Minister for Enterprise, Tourism and Employment for an update on the capital investment strategy, and the new business and tourism initiatives that he has recently announced. [1846/26] ",Capital Expenditure Programme,Enterprise
" 174. Deputy Mairéad Farrell asked the Minister for Enterprise, Tourism and Employment if the level of in-work poverty in the State has been brought to his attention; if he will consider an increase in the minimum wage as an effective means to reduce in-work poverty; and if he will make a statement on the matter. [1527/26] ",Poverty Data,Enterprise
" 175. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment if his Department is concerned about the rising rate of long-term unemployment, and youth unemployment, which stands at nearly three times the average unemployment rate, according to the CSO; the measures his Department is taking to find the cause and address these issues in the labour market; and if he will make a statement on the matter. [1736/26] ",Employment Support Services,Enterprise
" 176. Deputy Peter Roche asked the Minister for Enterprise, Tourism and Employment the assessment his Department has made of the estimated 6% decline in visitor numbers nationally in 2025, as reported by tourism industry bodies; the specific impact this decline is having on tourism businesses and employment in Galway east and county; and the measures being taken to support the tourism sector and to reverse this downward trend; and if he will make a statement on the matter. [1458/26] ",Tourism Industry,Enterprise
" 177. Deputy Louis O'Hara asked the Minister for Enterprise, Tourism and Employment the steps his Department has taken to promote tourism in east County Galway; and if he will make a statement on the matter. [1407/26] ",Tourism Promotion,Enterprise
" 178. Deputy Edward Timmins asked the Minister for Enterprise, Tourism and Employment the reason for the large increase in workplace fatalities in 2025; the actions being taken to ensure a reduction; and if he will make a statement on the matter. [1749/26] ",Health and Safety,Enterprise
" 179. Deputy Darren O'Rourke asked the Minister for Enterprise, Tourism and Employment his plans to grow and support indigenous businesses; his views on an expanded role for local authorities in this regard; and if he will make a statement on the matter. [1718/26] ",Enterprise Support Services,Enterprise
" 180. Deputy Barry Ward asked the Minister for Enterprise, Tourism and Employment the position regarding any engagement he has had with the major supermarkets in relation to significant price increases on many of the essentials they sell; if he proposes any direct action to reduce the impact of the cost-of-living on their customers; and if he will make a statement on the matter. [1400/26] ",Consumer Prices,Enterprise
" 181. Deputy Brian Stanley asked the Minister for Enterprise, Tourism and Employment the steps been taken by the IDA and his Department to increase the number of visits by prospective companies in County Laois to utilise and bring to use the lands that the IDA holds in Portlaoise; and if he will make a statement on the matter. [1720/26] ",Regional Development,Enterprise
" 182. Deputy Paul Murphy asked the Minister for Enterprise, Tourism and Employment if his Department has been consulted on the potential impact of proposed measures to make family reunification more difficult for migrant workers on labour shortages in key sectors; and if he will make a statement on the matter. [1620/26] ",Work Permits,Enterprise
" 183. Deputy Erin McGreehan asked the Minister for Enterprise, Tourism and Employment the new rules that will apply for short-term letting from May 2026; if the short-term let register has been launched; if it is open for registrations; and if he will make a statement on the matter. [1741/26] ",Tourism Industry,Enterprise
" 184. Deputy Brian Stanley asked the Minister for Enterprise, Tourism and Employment the steps been taken by his Department and the IDA to get a replacement industry for a factory (details supplied) in Portlaoise; and if he will make a statement on the matter. [1721/26] ",Regional Development,Enterprise
" 185. Deputy Erin McGreehan asked the Minister for Enterprise, Tourism and Employment the actions he is taking to reduce the cost of doing business; and if he will make a statement on the matter. [1742/26] ",Business Supports,Enterprise
" 186. Deputy Pa Daly asked the Minister for Enterprise, Tourism and Employment the status of the research his Department is carrying out to assess the economic impact of data centres in Ireland; and if he will make a statement on the matter. [1235/26] ",Data Centres,Enterprise
" 187. Deputy Peadar Tóibín asked the Minister for Enterprise, Tourism and Employment if his Department has undertaken any analysis on the average cost of hotel rooms in each of the past ten years, and the impact this has on tourism rates. [1409/26] ",Tourism Industry,Enterprise
" 188. Deputy Aisling Dempsey asked the Minister for Enterprise, Tourism and Employment if a new mid-east regional enterprise plan is forthcoming; and if he will make a statement on the matter. [1530/26] ",Regional Development,Enterprise
" 189. Deputy Albert Dolan asked the Minister for Enterprise, Tourism and Employment the concrete measures his Department is taking in 2026 to reduce cost pressures on SMEs, particularly energy, insurance and labour costs; and if he will make a statement on the matter. [1726/26] ",Small and Medium Enterprises,Enterprise
" 190. Deputy Joe Neville asked the Minister for Enterprise, Tourism and Employment the steps his Department is taking to aid IDA Ireland in securing new foreign direct investment for Kildare; and if he will make a statement on the matter. [66677/25] ",Foreign Direct Investment,Enterprise
" 191. Deputy Matt Carthy asked the Minister for Enterprise, Tourism and Employment the status of the review of the critical skills occupations list and ineligible occupations list; whether the review will take into consideration the availability of housing in addition to the needs of the labour market; and if he will make a statement on the matter. [1240/26] ",Work Permits,Enterprise
" 192. Deputy Rose Conway-Walsh asked the Minister for Enterprise, Tourism and Employment to outline the Government’s plans for implementing the EU directive on adequate minimum wages and collective bargaining; the way in which it will strengthen collective bargaining coverage in Ireland; and if he will make a statement on the matter. [1744/26] ",Employment Rights,Enterprise
" 193. Deputy Ged Nash asked the Taoiseach the number of successful prosecutions secured under section 24 of the Protected Disclosures (Amendment), Act 2022 (the provisions of the Act that relate to making the penalisation of an individual who makes a protected disclosure a criminal offence); the number of cases referred to the DPP for their consideration under the terms of the Act since the enactment and commencement of the relevant Section of the Act. [74743/25] ",Protected Disclosures,Taoiseach
" 194. Deputy John Clendennen asked the Taoiseach the number of businesses with a turnover of less than €250,000 per annum; the breakdown of the sectors they operate in. [2481/26] ",Economic Data,Taoiseach
" 195. Deputy John Clendennen asked the Taoiseach the details of the number of businesses with a turnover of between €250,001 and €500,000 per annum; the breakdown of the sectors they operate in. [2482/26] ",Economic Data,Taoiseach
" 196. Deputy John Clendennen asked the Taoiseach the details of the number of businesses with a turnover between €500,001 and €750,000 per annum; the breakdown of the sectors they operate in. [2483/26] ",Economic Data,Taoiseach
" 197. Deputy John Clendennen asked the Taoiseach the details of the number of businesses with a turnover between €750,001 and €1,000,000 per annum; the breakdown of the sectors they operate in. [2484/26] ",Economic Data,Taoiseach
" 198. Deputy Sinéad Gibney asked the Taoiseach to provide a list of AI pilot projects which have taken place in his Department within the past 12 months; the expenditure associated with those projects; and whether they are still ongoing, in tabular form. [74142/25] ",Artificial Intelligence,Taoiseach
" 199. Deputy Grace Boland asked the Taoiseach the office rental costs per annum for staff in his Department and for each agency or organisation under his remit, in tabular form, in each of the years between 2015 and 2025 inclusive. [74457/25] ",Departmental Expenditure,Taoiseach
" 200. Deputy Naoise Ó Muirí asked the Taoiseach the payroll cost of his Department and of each organisation or agency under its remit individually, in 2015 to 2025, by year, in tabular form. [74635/25] ",Departmental Expenditure,Taoiseach
 201. Deputy Cathal Crowe asked the Taoiseach the number of data breaches recorded by his Department in 2025; and the number that were reported to the Data Protection Commissioner. [74904/25] ,Data Protection,Taoiseach
" 202. Deputy James O'Connor asked the Taoiseach the number of projects in his Department that were delayed in 2023 and 2024 due to the change of document from the Public Spending Code to the Infrastructure Guidelines, in tabular form [75117/25] ",Public Spending Code,Taoiseach
 203. Deputy Matt Carthy asked the Taoiseach the salary scale that applies to the Secretary General in his Department and to the head of each agency for which they are responsible; whether this scale has changed in the past two years or whether there are proposals to change this scale in the coming period. [75204/25] ,Public Sector Pay,Taoiseach
" 204. Deputy Matt Carthy asked the Taoiseach the amount expended on advertising and promotion in his Department, and within each agency for which he is responsible, for 2022 to 2024, by year and budgeted for 2026. [75222/25] ",Departmental Advertising,Taoiseach
" 205. Deputy Matt Carthy asked the Taoiseach the number of press, media or communications staff currently employed in his Department and within each agency for which he is responsible; the cost of these staff for 2025 and the expected cost for 2026; whether there are proposals to increase the number of such staff. [75240/25] ",Departmental Staff,Taoiseach
 206. Deputy Matt Carthy asked the Taoiseach the estimated cost to his Department and to each agency for which they are responsible arising from Ireland’s presidency of the European Council; the line items or events for which a cost is expected to arise and the estimated cost for each. [75258/25] ,EU Presidency,Taoiseach
 207. Deputy Roderic O'Gorman asked the Taoiseach the total proposed capital spend under the Shared Island Fund between 2026 and 2030; the amount of this is to be allocated to transport projects; and could these transport projects be itemised along with the proposed spend. [1046/26] ,Capital Expenditure Programme,Taoiseach
" 208. Deputy Albert Dolan asked the Taoiseach the date on which a supplementary estimate or supplementary estimates was sought in respect of his Department’s Vote for each of the past ten years, and to the date in 2026; the gross and net amount involved in each case; and the Vote subheads to which each supplementary estimate related. [1803/26] ",Departmental Budgets,Taoiseach
" 209. Deputy Albert Dolan asked the Taoiseach the value of expenditure originally allocated in the Estimates to specific programmes or staffing measures that could not be spent as planned within the year for each of the past five years; and whether such underspends were surrendered, carried forward or reallocated to other areas within the Vote. [1826/26] ",Departmental Budgets,Taoiseach
 210. Deputy Brendan Smith asked the Taoiseach the progress to date in developing workspace hubs as provided for under the Shared Island Initiative; and when it is expected that such enterprise spaces will be provided in areas such as Cavan and Monaghan. [1853/26] ,Enterprise Support Services,Taoiseach
 211. Deputy Brendan Smith asked the Taoiseach the progress to date in providing workspace hubs on a cross-Border basis as provided for under the Shared Island Initiative. [1854/26] ,Enterprise Support Services,Taoiseach
